gameweek,player_id,player_name,team_id,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,position_id,kickoff_time,home_or_away_id,opposition_id,opposition_name,recent_points,recent_bps,recent_influence,recent_creativity,recent_threat,recent_xg,recent_xa,recent_xgi,recent_xgc,season_points,season_bps,season_influence,season_creativity,season_threat,season_xg,season_xa,season_xgi,season_xgc,win_odds,>2.5,minutes,fpl_points,over_four_fpl_points
5,4,Fábio Ferreira Vieira,1,1350,1365,1370,1370,1330,1360,3,15,2,9,Everton,7,22,23.0,15.3,25.0,0.04,0.22,0.26,0.25,11,37,41.0,27.5,29.0,0.04,0.23,0.27,0.31,1.5,1.67,79,3,0
5,5,Gabriel dos Santos Magalhães,1,1350,1365,1370,1370,1330,1360,2,15,2,9,Everton,2,7,13.2,0.0,0.0,0.0,0.0,0.0,0.75,4,23,34.4,2.2,0.0,0.0,0.01,0.01,1.71,1.5,1.67,90,5,1
5,13,Eddie Nketiah,1,1350,1365,1370,1370,1330,1360,4,15,2,9,Everton,18,56,58.8,34.800000000000004,97.0,1.45,0.13,1.58,1.02,20,64,67.0,67.9,112.0,1.54,0.19,1.73,1.92,1.5,1.67,65,2,0
5,14,Martin Ødegaard,1,1350,1365,1370,1370,1330,1360,3,15,2,9,Everton,15,53,68.4,55.6,65.0,1.05,0.32,1.37,2.27,22,77,106.60000000000001,61.0,105.0,1.3900000000000001,0.38,1.77,3.23,1.5,1.67,90,3,0
5,19,Bukayo Saka,1,1350,1365,1370,1370,1330,1360,3,15,2,9,Everton,21,78,115.39999999999999,139.7,134.0,1.71,1.36,3.07,2.51,25,100,150.39999999999998,207.89999999999998,166.0,2.16,1.6,3.76,3.4699999999999998,1.5,1.67,90,6,1
5,20,William Saliba,1,1350,1365,1370,1370,1330,1360,2,15,2,9,Everton,14,65,78.80000000000001,29.299999999999997,9.0,0.04,0.07,0.11000000000000001,2.7700000000000005,16,82,99.00000000000001,31.599999999999998,9.0,0.04,0.08,0.12000000000000001,3.7300000000000004,1.5,1.67,90,6,1
5,21,Albert Sambi Lokonga,12,1055,1090,1020,1060,1090,1120,3,14,2,10,Fulham,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1.89,74,2,0
5,26,Leandro Trossard,1,1350,1365,1370,1370,1330,1360,3,15,2,9,Everton,2,18,14.8,54.7,10.0,0.0,0.6900000000000001,0.6900000000000001,1.17,2,18,14.8,54.7,10.0,0.0,0.6900000000000001,0.6900000000000001,1.17,1.5,1.67,66,11,1
5,28,Matt Turner,16,1065,1100,1050,1125,1080,1080,1,18,1,6,Burnley,7,56,85.8,0.0,0.0,0.0,0.0,0.0,4.25,12,78,99.39999999999999,0.0,0.0,0.0,0.0,0.0,6.38,2.2,1.92,90,2,0
5,29,Benjamin White,1,1350,1365,1370,1370,1330,1360,2,15,2,9,Everton,9,52,53.00000000000001,43.9,6.0,0.0,0.15000000000000002,0.15000000000000002,2.7700000000000005,11,71,79.60000000000001,70.4,8.0,0.0,0.44,0.44,3.7300000000000004,1.5,1.67,90,7,1
5,31,Oleksandr Zinchenko,1,1350,1365,1370,1370,1330,1360,2,15,2,9,Everton,2,13,7.4,24.7,4.0,0.0,0.03,0.03,0.51,4,28,14.2,38.1,4.0,0.0,0.06,0.06,1.4100000000000001,1.5,1.67,79,7,1
5,33,Cameron Archer,17,1030,1040,1045,1020,1020,1060,4,14,2,18,Spurs,0,-1,0.0,4.3,0.0,0.0,0.0,0.0,0.0,12,31,30.0,5.1,24.0,0.17,0.0,0.17,2.49,11.0,1.5,90,1,0
5,36,Matty Cash,2,1160,1285,1140,1220,1180,1350,2,14,1,8,Crystal Palace,22,73,108.8,21.8,92.0,2.09,0.29000000000000004,2.38,4.21,21,73,117.39999999999999,22.5,140.0,2.15,0.29000000000000004,2.44,6.68,1.91,1.89,90,1,0
5,42,Lucas Digne,2,1160,1285,1140,1220,1180,1350,2,14,1,8,Crystal Palace,14,61,49.8,85.4,17.0,0.02,0.28,0.3,4.4,15,78,78.8,147.2,17.0,0.02,0.51,0.53,6.870000000000001,1.91,1.89,90,5,1
5,43,Douglas Luiz Soares de Paulo,2,1160,1285,1140,1220,1180,1350,3,14,1,8,Crystal Palace,10,52,64.8,70.6,38.0,0.98,0.38,1.3599999999999999,4.47,12,71,73.8,72.89999999999999,40.0,0.98,0.41000000000000003,1.39,6.82,1.91,1.89,90,10,1
5,48,Ezri Konsa Ngoyo,2,1160,1285,1140,1220,1180,1350,2,14,1,8,Crystal Palace,8,57,42.8,3.2,2.0,0.0,0.02,0.02,4.85,9,73,69.19999999999999,3.7,2.0,0.0,0.02,0.02,7.32,1.91,1.89,90,2,0
5,49,Emiliano Martínez Romero,2,1160,1285,1140,1220,1180,1350,1,14,1,8,Crystal Palace,9,49,68.0,0.0,0.0,0.0,0.0,0.0,4.12,10,65,88.8,0.0,0.0,0.0,0.0,0.0,6.59,1.91,1.89,90,2,0
5,50,John McGinn,2,1160,1285,1140,1220,1180,1350,3,14,1,8,Crystal Palace,14,55,52.39999999999999,49.1,37.0,0.86,0.27,1.13,3.21,16,62,55.79999999999999,52.1,62.0,1.05,0.27,1.3199999999999998,5.68,1.91,1.89,70,1,0
5,52,Marvelous Nakamba,12,1055,1090,1020,1060,1090,1120,3,14,2,10,Fulham,3,20,25.0,33.900000000000006,2.0,0.01,0.03,0.04,6.1899999999999995,4,37,40.0,61.10000000000001,2.0,0.01,0.25,0.26,7.25,5.5,1.89,90,2,0
5,60,Ollie Watkins,2,1160,1285,1140,1220,1180,1350,4,14,1,8,Crystal Palace,15,37,60.2,80.6,106.0,1.1600000000000001,0.16000000000000003,1.32,4.47,17,39,60.2,92.39999999999999,116.0,1.36,0.18000000000000002,1.54,6.82,1.91,1.89,90,5,1
5,63,Philip Billing,3,1100,1100,1055,1130,1145,1075,3,13,1,7,Chelsea,6,25,46.0,52.3,57.0,0.77,0.16,0.9299999999999999,5.98,8,39,63.8,80.9,64.0,0.8400000000000001,0.2,1.04,9.27,4.33,1.67,90,3,0
5,65,Ryan Christie,3,1100,1100,1055,1130,1145,1075,3,13,1,7,Chelsea,5,20,28.0,36.900000000000006,18.0,0.04,0.18,0.22000000000000003,5.06,7,30,35.4,53.2,52.0,0.17,0.19,0.36000000000000004,7.359999999999999,4.33,1.67,88,3,0
5,66,Lewis Cook,3,1100,1100,1055,1130,1145,1075,3,13,1,7,Chelsea,1,5,11.6,1.4,1.0,0.03,0.01,0.04,0.72,3,13,21.2,3.6,1.0,0.03,0.02,0.05,4.01,4.33,1.67,90,3,0
5,70,Lloyd Kelly,3,1100,1100,1055,1130,1145,1075,2,13,1,7,Chelsea,1,12,8.8,1.3,2.0,0.0,0.01,0.01,2.14,1,12,8.8,1.3,2.0,0.0,0.01,0.01,2.14,4.33,1.67,90,8,1
5,77,Norberto Murara Neto,3,1100,1100,1055,1130,1145,1075,1,13,1,7,Chelsea,14,63,109.2,0.0,0.0,0.0,0.01,0.01,6.210000000000001,15,78,153.2,0.0,0.0,0.0,0.01,0.01,9.5,4.33,1.67,90,10,1
5,78,Dango Ouattara,3,1100,1100,1055,1130,1145,1075,3,13,1,7,Chelsea,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,1.67,62,3,0
5,85,Dominic Solanke,3,1100,1100,1055,1130,1145,1075,4,13,1,7,Chelsea,14,36,60.4,55.900000000000006,98.0,1.2,0.19000000000000003,1.3900000000000001,6.210000000000001,21,58,103.19999999999999,67.60000000000001,142.0,1.76,0.21000000000000002,1.9700000000000002,9.5,4.33,1.67,90,2,0
5,86,Marcus Tavernier,3,1100,1100,1055,1130,1145,1075,3,13,1,7,Chelsea,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16,17.4,10.3,2.0,0.0,0.28,0.28,1.83,4.33,1.67,72,3,0
5,89,Illia Zabarnyi,3,1100,1100,1055,1130,1145,1075,2,13,1,7,Chelsea,4,46,68.0,2.8,2.0,0.0,0.03,0.03,6.210000000000001,5,57,84.4,3.8,4.0,0.0,0.03,0.03,9.5,4.33,1.67,90,6,1
5,96,Nathan Collins,4,1100,1100,1110,1055,1090,1150,2,16,2,15,Newcastle,9,57,44.0,2.8,25.0,0.13,0.28,0.41000000000000003,2.52,13,74,63.6,16.8,27.0,0.13,0.45000000000000007,0.5800000000000001,2.52,6.0,1.67,90,1,0
5,101,Mark Flekken,4,1100,1100,1110,1055,1090,1150,1,16,2,15,Newcastle,12,67,86.0,0.0,0.0,0.0,0.0,0.0,2.52,14,84,117.4,0.0,0.0,0.0,0.0,0.0,4.54,6.0,1.67,90,1,0
5,104,Aaron Hickey,4,1100,1100,1110,1055,1090,1150,2,16,2,15,Newcastle,7,35,23.4,16.1,6.0,0.03,0.09999999999999999,0.13,2.1799999999999997,8,54,39.0,17.3,7.0,0.07,0.12,0.19,4.199999999999999,6.0,1.67,81,1,0
5,105,Vitaly Janelt,4,1100,1100,1110,1055,1090,1150,3,16,2,15,Newcastle,7,21,27.599999999999998,28.2,26.0,0.06,0.18,0.24,2.52,9,30,32.199999999999996,32.0,47.0,0.29000000000000004,0.18,0.47,3.52,6.0,1.67,71,2,0
5,106,Mathias Jensen,4,1100,1100,1110,1055,1090,1150,3,16,2,15,Newcastle,10,48,39.0,92.0,23.0,0.07,0.78,0.8500000000000001,1.79,19,75,82.2,126.1,36.0,0.1,1.15,1.25,3.81,6.0,1.67,90,2,0
5,108,Bryan Mbeumo,4,1100,1100,1110,1055,1090,1150,3,16,2,15,Newcastle,25,67,120.19999999999999,63.1,126.0,3.18,0.52,3.6999999999999997,2.52,33,89,164.0,108.6,159.0,4.0200000000000005,0.92,4.9399999999999995,4.54,6.0,1.67,90,2,0
